strategy,total_demand_veh_h,demand_ratio,metric,lower_is_better,paired_seeds,mean_paired_delta,sample_stddev,standard_error,t_critical_95,ci_95_low,ci_95_high,interpretation
cooperative_limited,800,1:1,insertion_wait_time_s,True,5,615.2,3938.8145043908835,1761.4913965160317,2.776,-4274.700116728504,5505.100116728504,uncertain
cooperative_limited,800,1:1,network_time_spent_s,True,5,379.2,1119.2806618538534,500.55752916123436,2.776,-1010.3477009515864,1768.7477009515865,uncertain
cooperative_limited,800,1:1,throughput_veh_h,False,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:1,total_time_spent_s,True,5,994.4,4983.330392418307,2228.6131023576077,2.776,-5192.229972144719,7181.029972144718,uncertain
cooperative_limited,800,1:1,unfinished_vehicles,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:2,insertion_wait_time_s,True,5,-2697.0,7611.252722121372,3403.855696118741,2.776,-12146.103412425624,6752.103412425624,uncertain
cooperative_limited,800,1:2,network_time_spent_s,True,5,-548.2,1442.2349669870025,644.9870851420205,2.776,-2338.684148354249,1242.2841483542488,uncertain
cooperative_limited,800,1:2,throughput_veh_h,False,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:2,total_time_spent_s,True,5,-3245.2,8957.411104777988,4005.876026539014,2.776,-14365.5118496723,7875.111849672302,uncertain
cooperative_limited,800,1:2,unfinished_vehicles,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:3,insertion_wait_time_s,True,5,47696.4,12476.02798570122,5579.44933304354,2.776,32207.848651471137,63184.95134852886,worsens
cooperative_limited,800,1:3,network_time_spent_s,True,5,13855.4,3366.4190618519256,1505.5083726103949,2.776,9676.108757633545,18034.691242366454,worsens
cooperative_limited,800,1:3,throughput_veh_h,False,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:3,total_time_spent_s,True,5,61551.8,14523.494558817447,6495.104220872826,2.776,43521.39068285704,79582.20931714296,worsens
cooperative_limited,800,1:3,unfinished_vehicles,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:4,insertion_wait_time_s,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:4,network_time_spent_s,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:4,throughput_veh_h,False,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:4,total_time_spent_s,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:4,unfinished_vehicles,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:5,insertion_wait_time_s,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:5,network_time_spent_s,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:5,throughput_veh_h,False,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:5,total_time_spent_s,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,800,1:5,unfinished_vehicles,True,5,0.0,0.0,0.0,2.776,0.0,0.0,uncertain
cooperative_limited,1000,1:1,insertion_wait_time_s,True,5,2582.2,7477.642422582134,3344.1033536659716,2.776,-6701.030909776736,11865.430909776736,uncertain
cooperative_limited,1000,1:1,network_time_spent_s,True,5,559.6,984.2374205444538,440.1643556672893,2.776,-662.2962513323952,1781.4962513323953,uncertain
